,number,form.food.ate_past_24_h,form.food.nbr_eat_7_day,form.food.fooditem,food,nbr_food,number_meals,Ano,Mês,Dia,Cluster
300,4044,1,5.0,balahazo _maina,,,,,,,Cluster 1
301,6592,1,2.0,Menaka,,,,,,,Cluster 3
302,9054,1,7.0,bageda,,,,,,,Cluster 1
303,8087,1,0.0,balahazo _maina,,,,,,,Cluster 3
304,6771,1,5.0,voanemba,,,,,,,Cluster 3
305,7743,0,4.0,pitipoa,,,,,,,Cluster 0
306,5850,1,7.0,raketa_mena,,,,,,,Cluster 1
307,1620,1,7.0,ampemba,,,,,,,Cluster 1
308,1801,1,4.0,voanemba,,,,,,,Cluster 3
309,2232,1,7.0,raketa_mena,,,,,,,Cluster 1
310,2971,0,4.0,antake,,,,,,,Cluster 0
311,9374,1,7.0,bageda,,,,,,,Cluster 1
312,10955,1,7.0,bageda,,,,,,,Cluster 1
313,5892,1,7.0,ravina_hafa,,,,,,,Cluster 1
314,10820,0,0.0,katra,,,,,,,Cluster 0
315,5934,0,0.0,ampemba,,,,,,,Cluster 0
316,6310,1,3.0,taboara,,,,,,,Cluster 3
317,1780,1,7.0,voanemba,,,,,,,Cluster 1
318,6692,1,5.0,pitipoa,,,,,,,Cluster 1
319,97514,0,0.0,ravi_balahazo,,,,,,,Cluster 0
320,7020,1,7.0,ampemba,,,,,,,Cluster 1
321,378,0,0.0,vokatra_azo_aminy_ronono,6 7,2.0,2.0,2019.0,setembro,24.0,Cluster 0
322,570,1,4.0,balahazo _maina,1 5,2.0,2.0,2018.0,agosto,8.0,Cluster 3
323,3992,1,2.0,hazan-dranomasina,,,,,,,Cluster 3
324,4120,1,7.0,antake,,,,,,,Cluster 1
325,1583,1,3.0,bageda,,,,,,,Cluster 3
326,23911,0,0.0,katra,,,,,,,Cluster 0
327,11123,1,3.0,Menaka,,,,,,,Cluster 3
328,6954,0,1.0,pitipoa,,,,,,,Cluster 0
329,6964,0,1.0,vary,,,,,,,Cluster 0
330,3636,0,2.0,bageda,,,,,,,Cluster 0
331,6890,1,14.0,balahazo _maina,,,,,,,Cluster 2
332,8127,0,2.0,hena_omby,,,,,,,Cluster 0
333,1554,1,7.0,balahazo _maina,,,,,,,Cluster 1
334,7261,0,2.0,voanemba,,,,,,,Cluster 0
335,9643,1,7.0,pitipoa,,,,,,,Cluster 1
336,5421,0,0.0,voanemba,,,,,,,Cluster 0
337,9053,1,2.0,sakafo_hafa_soraty,,,,,,,Cluster 3
338,9500,1,7.0,ampemba,,,,,,,Cluster 1
339,960,1,1.0,raketa_mena,1 10,2.0,,2019.0,setembro,16.0,Cluster 3
340,10870,1,1.0,tsako,,,,,,,Cluster 3
341,4820,1,2.0,tsako,,,,,,,Cluster 3
342,7759,0,0.0,hena_hafa,,,,,,,Cluster 0
343,7561,1,1.0,ravina_hafa,,,,,,,Cluster 3
344,1091,1,7.0,raketa_mena,5 7,2.0,3.0,2019.0,setembro,14.0,Cluster 1
345,4320,1,1.0,voanemba,,,,,,,Cluster 3
346,6730,1,7.0,legumes_hafa,,,,,,,Cluster 1
347,7690,1,14.0,raketa_mena,,,,,,,Cluster 2
348,5634,0,0.0,ampemba,,,,,,,Cluster 0
349,97513,1,7.0,balahazo _maina,,,,,,,Cluster 1
350,5274,1,6.0,raketa_mena,,,,,,,Cluster 1
351,3180,1,10.0,raketa_mena,,,,,,,Cluster 1
352,1671,1,3.0,legumes,,,,,,,Cluster 3
353,9242,1,2.0,bageda,,,,,,,Cluster 3
354,8352,1,1.0,katra,,,,,,,Cluster 3
355,210,1,3.0,tsako,1 29 5,3.0,2.0,2019.0,setembro,14.0,Cluster 3
356,9222,1,7.0,bageda,,,,,,,Cluster 1
357,3901,1,4.0,balahazo _maina,,,,,,,Cluster 3
358,6691,1,7.0,Menaka,,,,,,,Cluster 1
359,12080,1,7.0,balahazo _maina,,,,,,,Cluster 1
360,77516,0,0.0,bageda,,,,,,,Cluster 0
361,7451,1,5.0,balahazo _maina,,,,,,,Cluster 1
362,4411,1,7.0,bageda,,,,,,,Cluster 1
363,8270,1,3.0,tsako,,,,,,,Cluster 3
364,6151,1,5.0,bageda,,,,,,,Cluster 1
365,781,1,4.0,balahazo _maina,16 5,2.0,2.0,2018.0,agosto,8.0,Cluster 3
366,2405,0,0.0,raketa_ravina,,,,,,,Cluster 0
367,9281,1,5.0,balahazo _maina,,,,,,,Cluster 1
368,2231,1,3.0,voanemba,,,,,,,Cluster 3
369,10941,1,3.0,balahazo _maina,,,,,,,Cluster 3
370,5780,1,7.0,raketa_mena,,,,,,,Cluster 1
371,6524,1,3.0,hazan-dranomasina,,,,,,,Cluster 3
